gal,tipo,hu1,hu2,hu3,hu4,hu5,hu6,hu7
K0353,Sd,0.160506584809,3.8568797004e-05,5.92451198702e-05,4.37436514422e-05,-1.6950365855e-09,-1.04738847384e-07,-2.25005968504e-10
K0364,Sa,0.28150494529,0.0508702721798,0.0114340523694,0.011094944455,-1.02448758764e-06,-0.000247539610579,6.47931849653e-06
K0381,Sab,0.203279610069,0.0140286118923,0.00203004215127,0.00150079512097,-6.18148918443e-09,-1.53178435865e-05,6.5182519971e-08
K0386,Sab,0.224564554989,0.0188131140925,0.00366937753461,0.00225678422558,-1.85951277436e-08,2.00366811449e-05,1.30895797096e-07
K0387,E5,0.255058773162,0.00220502846025,0.00265908422648,0.000652711433666,-4.36747447549e-09,1.47623830215e-07,-1.16970554622e-10
K0388,Sbc,0.160203394808,1.22183273805e-05,0.000148920689168,3.94499348601e-05,-3.60796405889e-11,-1.2775612734e-09,-2.09600059923e-12
K0414,Sb,0.16201767036,4.90076965179e-05,0.000120649530426,0.000109494847991,-4.35667834803e-10,-4.482793071e-08,2.9731842688e-10
K0436,Sbc,0.160730279953,0.000121008609416,0.000107469601257,4.6006733926e-05,2.01120380783e-11,1.14720718754e-08,1.24274290511e-11
K0437,Sbc,0.192127542322,0.00210250864313,0.000279955882469,0.00108027677268,-3.56929731193e-08,-1.26284407455e-05,-5.73509166472e-08
K0475,Sm,0.212249513042,0.0182640000689,0.00590416124131,0.00460149636681,2.82212759197e-08,5.90691964338e-05,6.98690759172e-07
K0476,Sbc,0.173942524418,0.00363382286086,9.36589972481e-06,4.76933099494e-05,-3.9452115185e-10,2.58737240484e-07,-6.69517108879e-11
K0479,S0a,0.187806654875,0.00305079039488,0.00158857736738,0.000806385935656,9.19546804132e-09,-2.25059599752e-07,6.97727663688e-09
K0486,Scd,0.184881242982,0.00630742947103,0.000218501221874,0.000148770662353,-1.58616646724e-09,3.32513183112e-06,3.28013920602e-08
K0500,Sbc,0.21785475405,0.021741740093,7.72871213676e-05,0.000373295986059,3.38130866391e-09,2.76583568609e-06,8.68179314089e-09
K0502,Sa,0.200325220534,0.0134971869047,0.00198023741024,0.00156339453979,8.21911370709e-09,-1.22290807619e-05,5.78629235092e-08
K0515,Sbc,0.165534661786,8.13955972393e-06,0.000140017658895,4.24462462234e-05,-1.5567871519e-11,-2.5564908749e-10,1.85822708389e-12
K0518,Sb,0.160775177226,0.000119212665317,0.000290750371185,0.000267448596557,-6.9793803425e-11,-2.61540046427e-07,2.5573382319e-09
K0528,Sdm,0.17270993042,0.00318794587237,0.000388861865951,0.000424143397713,-3.98473050651e-09,-1.91443143886e-06,1.1121731611e-08
K0548,Sc,0.164026280374,0.00113998018473,0.000168343049193,5.08883506986e-05,-4.49043851579e-10,6.14570667823e-08,1.06355861145e-09
K0569,Sb,0.218461350019,0.0209170371096,0.00538787173982,0.00442194154716,8.35210587045e-08,-5.72953875621e-06,1.86862713419e-07
K0580,Sbc,0.179641819881,0.00300576909778,0.0015230764573,0.000582453178543,-1.18729402765e-09,6.75590886291e-07,1.73252777296e-09
K0588,E1,0.26721782616,0.000141957460326,0.00311951911369,0.00162489729535,3.66213050034e-08,-7.95784754775e-07,1.18395130999e-08
K0589,E3,0.231616379724,0.00243036265119,0.00891015302563,0.00494981365928,2.90579663452e-07,-6.27056366891e-06,2.63533810527e-07
K0592,E0,0.215912230715,1.23476305236e-07,0.000384071803537,9.71110774955e-05,-7.94805328617e-09,-8.11813641237e-09,-2.09638953964e-09
K0602,E1,0.168364276704,2.41605940911e-05,5.17671545283e-06,0.000133848944089,-7.8950990551e-10,-1.85339314009e-07,6.68583350544e-10
